时间,车型,车名,厂商指导价格范围,月降价幅度,全国月关注,评分,全国月销量,质保,环保标准,油耗,燃油标号
2024年4月,紧凑型车,科鲁泽,9.49-10.89万,3.80万,,4.7分,2750,质保：三年或10万公里,环保标准：国VI,3,2
2024年4月,紧凑型车,秦新能源,6.49-17.48万,3.70万,18843,4.75分,1093,质保：六年或15万公里，待查，四年或10万公里，三年或10万公里,环保标准：国IV(国V)，国VI，国V,2,2
2024年4月,紧凑型车,凌尚,13.98-16.98万,3.50万,,4.85分,390,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,轩逸,10.86-17.49万,3.50万,820191,4.36分,24270,质保：三年或10万公里，两年或6万公里，五年或15万公里，3年或10万公里,环保标准：国V，欧III，国VI，国IV(国V)，欧IV，欧IV+OBD,4,2
2024年4月,紧凑型车,明锐,10.99-15.49万,3.50万,1690,4.28分,82,质保：两年或6万公里，三年或10万公里，2年或6万公里,环保标准：国IV，国V，国VI，国III，国IV(国V),5,6
2024年4月,紧凑型车,凯越,8.39-9.99万,3.50万,127228,4.55分,0,质保：两年或6万公里，2年或6万公里，三年或10万公里,环保标准：欧III，欧IV，国VI，国V，国IV(国V),5,2
2024年4月,紧凑型车,北京EU5,12.99-17.19万,3.21万,,4.7分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,伊兰特,9.98-14.98万,3.20万,274,4.76分,7543,质保：三年或10万公里，两年或6万公里，2年或6万公里，待查,环保标准：国VI，国III，欧III，国IV,4,2
2024年4月,紧凑型车,卡罗拉,11.68-15.58万,3.10万,881638,4.42分,4320,质保：三年或10万公里，两年或5万公里,环保标准：国V，国VI，国IV(国V)，国IV,4,2
2024年4月,紧凑型车,启辰D60EV,13.98-15.81万,3.00万,,4.81分,625,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,高尔夫,12.98-22.98万,3.00万,439110,4.28分,3455,质保：两年或6万公里，三年或10万公里，2年或6万公里，1年或不限里程，1年或4万公里,环保标准：国IV，国VI，国V，国IV+OBD，国IV(国V)，欧IV，欧III,4,10
2024年4月,紧凑型车,长安UNI-V 智电iDD,11.49-15.99万,2.90万,,,40,质保：暂无数据,环保标准：国VI,1,2
2024年4月,紧凑型车,雷凌,11.38-14.88万,2.90万,360311,4.67分,6093,质保：三年或10万公里,环保标准：国V，国VI，国IV(国V),4,2
2024年4月,紧凑型车,驱逐舰05,7.98-15.78万,2.90万,,4.75分,20363,质保：六年或15万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,起亚K3,11.29-14.39万,2.90万,282135,4.51分,1363,质保：三年或10万公里,环保标准：国VI，国IV(国V),4,2
2024年4月,紧凑型车,昕锐,9.99万,2.80万,182023,3.94分,0,质保：三年或10万公里,环保标准：国IV(国V)，国V，国VI,4,2
2024年4月,紧凑型车,菲斯塔,13.88-15.48万,2.60万,,4.25分,133,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,紧凑型车,福瑞迪,8.08-10.48万,2.58万,29599,3.99分,1615,质保：三年或10万公里，三年或5万公里,环保标准：国V，国IV(国V)，国VI，国IV,4,2
2024年4月,紧凑型车,思域(进口),42.00万,2.50万,2762,,0,质保：暂无数据,环保标准：国VI,0,6
2024年4月,紧凑型车,名爵6,10.98-13.98万,2.50万,31658,4.45分,49,质保：三年或10万公里，三年或6万公里，3年或10万公里,环保标准：国VI，国IV+OBD，国V，国IV(国V),4,2
2024年4月,紧凑型车,北京EU5 PLUS,12.99-18.59万,2.50万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,艾瑞泽GX,8.59-9.19万,2.49万,,4.6分,0,质保：三年或10万公里,环保标准：国VI，国V,5,2
2024年4月,紧凑型车,秦Pro新能源,13.69-20.49万,2.40万,,4.67分,0,质保：六年或15万公里，待查,环保标准：国V，国VI,2,2
2024年4月,紧凑型车,景逸S50,6.99-7.99万,2.39万,86418,,0,质保：八年或16万公里，五年或10万公里,环保标准：国V，国VI，国IV(国V),5,2
2024年4月,紧凑型车,MG4 EV,13.98-18.68万,2.30万,,,271,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,逸动,7.29-10.39万,2.10万,20403,4.65分,8623,质保：三年或10万公里，四年或10万公里，三年或6万公里,环保标准：国V，国VI，国IV(国V)，国IV,4,2
2024年4月,紧凑型车,影豹,10.80-15.80万,2.00万,,4.66分,1614,质保：三年或10万公里,环保标准：国VI,4,6
2024年4月,紧凑型车,帝豪L HiP,8.98-16.88万,2.00万,,4.87分,663,质保：四年或10万公里，六年或15万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,悦动,8.49-11.59万,2.00万,255793,,0,质保：三年或10万公里，两年或6万公里,环保标准：国IV(国V)，国VI，国V，国IV，国Ⅳ,4,2
2024年4月,紧凑型车,领克03,13.78-42.03万,1.90万,,4.65分,4113,质保：四年或10万公里,环保标准：国VI，国V,4,10
2024年4月,紧凑型车,福克斯,11.98-14.58万,1.90万,269696,4.59分,1,质保：三年或10万公里，两年或4万公里，2年或4万公里,环保标准：国IV，国VI，国V，国III,4,2
2024年4月,紧凑型车,北京U5,6.99-9.99万,1.90万,,,0,质保：五年或10万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,捷达VA3,6.58-9.48万,1.90万,,4.57分,4534,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,思皓曜,9.88-19.68万,1.90万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,MG5天蝎座,10.29-10.99万,1.71万,,4.6分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,锐程PLUS,9.99-12.29万,1.71万,,,721,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,荣威i6 MAX,10.98-12.58万,1.52万,,4.76分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,逸动新能源,14.99-15.99万,1.52万,,4.68分,942,质保：三年或10万公里，三年或6万公里,环保标准：国V,2,2
2024年4月,紧凑型车,锐程CC,9.79-11.29万,1.52万,,4.45分,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,领克02 Hatchback,15.08-18.18万,1.52万,,4.58分,0,质保：四年或10万公里,环保标准：国VI,4,8
2024年4月,紧凑型车,荣威i5,6.89-9.09万,1.50万,,4.52分,3133,质保：三年或10万公里，四年或15万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,马自达3 昂克赛拉,8.99-18.99万,1.43万,443400,4.55分,2261,质保：三年或10万公里,环保标准：国VI，国V，国IV(国V),4,6
2024年4月,紧凑型车,MG5,6.79-9.99万,1.43万,12508,4.68分,2707,质保：三年或10万公里，3年或10万公里,环保标准：国VI，国IV(国V),4,2
2024年4月,紧凑型车,逸动DT,5.79-7.39万,1.43万,,4.55分,0,质保：三年或10万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,逸达,8.39-10.79万,1.33万,,,543,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,星瑞,10.87-14.97万,1.30万,,4.56分,13596,质保：四年或10万公里,环保标准：国VI,4,10
2024年4月,紧凑型车,荣威Ei5,15.28-16.68万,1.30万,,4.75分,819,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,紧凑型车,帝豪,6.99-12.98万,1.20万,78214,4.63分,9598,质保：四年或10万公里，四年或15万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,缤瑞,7.58-10.98万,1.20万,,4.73分,3372,质保：四年或10万公里,环保标准：国VI，国V,3,2
2024年4月,紧凑型车,启辰D60,8.88-9.98万,1.14万,53665,4.68分,663,质保：三年或10万公里,环保标准：国V，国VI,4,2
2024年4月,紧凑型车,艾瑞泽8,9.99-14.69万,1.00万,,,7916,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,紧凑型车,艾瑞泽5 PLUS,7.49-11.99万,1.00万,,,0,质保：三年或10万公里,环保标准：国VI,4,2
2024年4月,紧凑型车,欧拉芭蕾猫,14.98-17.98万,0.98万,,,132,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,奥迪RS 4,82.88万,16.48万,,,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中型车,奥迪RS 5,85.28-87.48万,16.35万,42311,,0,质保：三年或10万公里,环保标准：国VI，国IV(国V),6,8
2024年4月,中型车,奔驰C级AMG,57.38-116.08万,15.56万,54677,4.32分,0,质保：三年不限公里,环保标准：欧VI，国VI，欧IV,5,11
2024年4月,中型车,宝马i3,35.39-41.39万,14.84万,,4.74分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,奥迪A4L,30.58-39.98万,13.10万,1398126,4.31分,0,质保：三年或10万公里，两年不限公里,环保标准：国V，国VI，国IV+OBD，国IV(国V)，国IV,4,8
2024年4月,中型车,捷豹XEL,29.98-34.18万,13.08万,,4.54分,0,质保：三年或10万公里,环保标准：国VI，国V,4,8
2024年4月,中型车,奥迪A5,37.18-49.88万,12.98万,643232,4.56分,0,质保：三年或10万公里，两年不限公里,环保标准：国V，欧IV+OBD，国VI，欧IV,5,8
2024年4月,中型车,宝马M3,86.39-91.39万,12.64万,39437,,0,质保：三年或10万公里，两年不限公里,环保标准：欧IV，欧VI，国VI,6,8
2024年4月,中型车,奔驰C级(进口),35.54-39.28万,11.90万,190546,4.27分,0,质保：三年不限公里，两年不限公里，待查,环保标准：欧V，国VI，欧IV，欧Ⅳ,5,8
2024年4月,中型车,奥迪S5,63.18-70.88万,11.18万,36894,4.58分,0,质保：三年或10万公里，3年或10万公里，两年不限公里,环保标准：国VI，欧IV+OBD，国V,5,8
2024年4月,中型车,英菲尼迪Q50L,26.48-38.98万,11.09万,147305,4.57分,0,质保：四年或10万公里,环保标准：欧V，国VI，国V,5,8
2024年4月,中型车,奥迪A4(进口),35.98-44.68万,10.90万,42237,4.47分,0,质保：三年或10万公里，两年不限公里,环保标准：国VI，国IV+OBD，欧V，欧IV,5,10
2024年4月,中型车,宝马3系,29.99-39.99万,10.81万,981944,4.41分,0,质保：两年不限公里，三年或10万公里，2年或不限里程,环保标准：欧IV，国VI，国IV(国V)，国V，欧III,4,8
2024年4月,中型车,宝马i4,42.99-54.99万,10.39万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,奥迪S4,48.88-52.18万,9.81万,3659,4.22分,0,质保：三年或10万公里,环保标准：国VI，国V,5,8
2024年4月,中型车,宝马M4,89.39-105.88万,9.73万,52173,4.42分,0,质保：三年或10万公里,环保标准：欧VI，国VI,5,8
2024年4月,中型车,奔驰C级,33.23-38.06万,9.60万,817630,4.13分,0,质保：三年不限公里,环保标准：国VI，欧V，欧IV，欧Ⅳ,5,8
2024年4月,中型车,红旗E-QM5,16.58-23.98万,9.30万,,4.51分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,雪铁龙C6,22.68-23.68万,7.90万,98592,4.7分,0,质保：三年或10万公里,环保标准：国V，国VI,4,10
2024年4月,中型车,凯迪拉克CT5,28.97-36.17万,7.90万,,4.65分,0,质保：三年不限公里,环保标准：国VI,5,8
2024年4月,中型车,沃尔沃S60新能源,39.99-46.19万,7.80万,,4.58分,0,质保：三年不限公里,环保标准：国VI，国V,2,8
2024年4月,中型车,沃尔沃S60,29.69-38.49万,7.10万,186517,4.74分,0,质保：三年不限公里,环保标准：国VI，国V，国IV(国V),4,8
2024年4月,中型车,君威,15.98-24.98万,7.00万,1265933,4.43分,0,质保：两年或6万公里，三年或10万公里，2年或6万公里,环保标准：国IV，国V，国IV(国V)，国VI，国III+OBD，欧III,5,4
2024年4月,中型车,迈腾GTE插电混动,23.79-25.29万,7.00万,,,0,质保：三年或10万公里,环保标准：国VI,2,8
2024年4月,中型车,君越,17.99-28.98万,7.00万,537387,4.35分,0,质保：三年或10万公里，两年或6万公里，2年或6万公里,环保标准：国IV(国V)，国V，国IV，欧IV，国VI，欧III,5,6
2024年4月,中型车,Giulia朱丽叶,33.60-98.58万,6.90万,227681,4.24分,0,质保：三年不限公里,环保标准：国VI，国V,6,6
2024年4月,中型车,蔚揽,26.48-33.88万,6.90万,64149,4.49分,0,质保：三年或10万公里，3年或10万公里,环保标准：欧VI，国VI,5,8
2024年4月,中型车,帕萨特新能源,23.32-24.21万,6.56万,,4.7分,0,质保：待查,环保标准：国VI，国V,2,8
2024年4月,中型车,迈锐宝XL,17.59-21.99万,6.50万,238321,4.5分,0,质保：三年或10万公里,环保标准：国V，国VI,4,6
2024年4月,中型车,宝马4系,37.39-57.69万,6.42万,164948,4.45分,0,质保：三年或10万公里,环保标准：国V，国VI,5,8
2024年4月,中型车,沃尔沃V60,30.43-39.58万,5.60万,18200,4.51分,0,质保：三年不限公里，两年或10万公里,环保标准：国V，国VI，国IV(国V),4,8
2024年4月,中型车,英仕派,17.99-25.59万,5.40万,,4.43分,0,质保：三年或10万公里,环保标准：国V，国VI,3,2
2024年4月,中型车,迈腾,18.69-30.99万,5.20万,915541,4.34分,0,质保：两年或6万公里，三年或10万公里，两年或4万公里,环保标准：国IV+OBD，国V，国VI，国IV(国V)，欧IV,5,10
2024年4月,中型车,雅阁,16.98-25.98万,5.00万,1205840,4.41分,0,质保：三年或10万公里，3年或10万公里，2年或6万公里,环保标准：欧III，国VI，国IV(国V)，欧IV，国V,4,2
2024年4月,中型车,凯迪拉克CT4,21.97-25.97万,5.00万,,4.62分,0,质保：三年不限公里,环保标准：国VI,4,8
2024年4月,中型车,英仕派新能源,22.98-25.88万,4.90万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,中型车,北京EU7,15.99-17.59万,4.90万,,4.77分,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,Arteon,34.80万,4.72万,167125,,0,质保：三年或10万公里,环保标准：国VI,0,8
2024年4月,中型车,丰田bZ3,16.98-19.98万,4.60万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,速派,17.49-19.49万,4.40万,1102815,4.61分,0,质保：三年或10万公里,环保标准：国VI，国V+OBD，国IV(国V),4,8
2024年4月,中型车,亚洲龙,19.98-27.98万,4.30万,,4.79分,0,质保：四年或10万公里,环保标准：国VI，国V,4,2
2024年4月,中型车,天籁,17.98-23.98万,4.10万,339202,4.64分,0,质保：三年或10万公里，两年或6万公里，2年或6万公里,环保标准：欧IV+OBD，国VI，欧IV，国V，国IV(国V)，欧III，国V(国VI),6,6
2024年4月,中型车,林肯Z,23.58-36.58万,3.90万,,4.8分,0,质保：五年或14万公里,环保标准：国VI,0,8
2024年4月,中型车,红旗H5,15.98-22.58万,3.90万,,,0,质保：四年或10万公里,环保标准：国VI,0,8
2024年4月,中型车,雅阁新能源,22.58-25.88万,3.90万,,,0,质保：三年或10万公里,环保标准：国VI,0,2
2024年4月,中型车,凯美瑞,17.18-26.98万,3.60万,483081,4.64分,0,质保：两年或5万公里，三年或10万公里,环保标准：欧IV，国VI，国IV(国V)，国V,5,6
2024年4月,中型车,名图新能源,17.88-20.38万,3.50万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,标致508,15.97-22.47万,3.40万,128974,4.73分,0,质保：两年或6万公里，三年或10万公里,环保标准：国IV(国V)，国VI，国V，国IV,5,6
2024年4月,中型车,欧拉闪电猫,18.98-26.98万,3.00万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中型车,名图,13.38-16.88万,3.00万,432692,3.49分,0,质保：五年或10万公里，可选:三年或15万公里/五年或10万公里/七年或7万公里,环保标准：国V，国IV(国V)，国VI,5,2
2024年4月,中型车,索纳塔,13.98-19.38万,3.00万,,4.7分,0,质保：可选:三年或15万公里/五年或10万公里/七年或7万公里，两年或6万公里，2年或6万公里,环保标准：国VI，国III，欧II，国IV，欧III,4,2
2024年4月,中型车,红旗H6,19.28-23.98万,2.90万,,,0,质保：四年或10万公里,环保标准：国VI,0,8
2024年4月,中型车,北京U7,8.79-12.29万,2.90万,,4.57分,0,质保：五年或10万公里,环保标准：国VI，国V,4,2
2024年4月,中型车,起亚K5,16.28-20.68万,2.80万,282737,4.7分,0,质保：五年或10万公里，待查,环保标准：国VI，国IV(国V)，国V，国IV,5,2
2024年4月,中型车,博瑞,13.18-14.38万,2.70万,589957,4.72分,0,质保：四年或10万公里,环保标准：国V，国VI,5,6
2024年4月,中型车,传祺GA6,16.88万,1.24万,165961,4.68分,0,质保：三年或10万公里,环保标准：国VI，国V,4,2
2024年4月,中型车,奔腾B70,10.59-14.49万,1.20万,45471,4.71分,0,质保：三年或10万公里，三年或6万公里,环保标准：国IV(国V)，国IV，欧IV，国VI，国V,5,6
2024年4月,中型车,蒙迪欧,14.98-21.98万,1.20万,931932,4.37分,0,质保：两年或4万公里，三年或10万公里，2年或4万公里,环保标准：欧III，国IV(国V)，国VI，国V，国IV,5,2
2024年4月,中型车,奔驰C级新能源,40.88-41.06万,0.41万,,,0,质保：三年不限公里,环保标准：国VI，欧V,3,8
2024年4月,中大型车,奥迪RS e-tron GT,124.78万,50.90万,,,0,质保：暂无数据,环保标准：暂无数据,0,-1
2024年4月,中大型车,宝马M5,145.39万,26.07万,32953,,0,质保：三年或10万公里，两年不限公里,环保标准：欧V，欧IV，国VI,6,8
2024年4月,中大型车,奥迪RS 6,145.38万,21.81万,31809,,0,质保：三年或10万公里,环保标准：国V，国VI,6,11
2024年4月,中大型车,奔驰E级AMG,96.16-146.88万,20.90万,5290,,0,质保：三年不限公里，两年不限公里,环保标准：欧VI，国VI，欧IV,5,11
2024年4月,中大型车,Ghibli,79.58-94.88万,19.90万,175253,3.9分,0,质保：三年不限公里,环保标准：国V，国VI，欧V,5,8
2024年4月,中大型车,捷豹XFL,39.98-49.78万,19.38万,344703,4.56分,0,质保：三年或10万公里,环保标准：国VI，欧V，国V,5,8
